,Price,Image URLs,Model,Year,City,year,car_type,engine_size,gear,mileage,other_details
960,5300000,"['https://kolesa-photos.kcdn.online/webp/22/223a5c20-b440-4440-9f94-9bfc9653c103/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/22/223a5c20-b440-4440-9f94-9bfc9653c103/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/22/223a5c20-b440-4440-9f94-9bfc9653c103/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/22/223a5c20-b440-4440-9f94-9bfc9653c103/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/22/223a5c20-b440-4440-9f94-9bfc9653c103/5-160x120.jpg']",Mercedes-Benz E 320,2001,Шымкент,2001 г.,Б/у седан,3.2 л,КПП автомат,350 000,"бензин, серебристый, металлик, литые диски, ксенон, кор..."
961,1000000,"['https://kolesa-photos.kcdn.online/webp/17/170500d3-b98b-451b-b315-9bde725ae8dd/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/17/170500d3-b98b-451b-b315-9bde725ae8dd/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/17/170500d3-b98b-451b-b315-9bde725ae8dd/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/17/170500d3-b98b-451b-b315-9bde725ae8dd/5-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/17/170500d3-b98b-451b-b315-9bde725ae8dd/7-160x120.jpg']",Mercedes-Benz E 280,1996,Жосалы,1996 г.,Б/у седан,2.8 л,КПП автомат,450 000,"бензин, черный, металлик, литые диски, тонировка, люк, ..."
962,3700000,"['https://kolesa-photos.kcdn.online/webp/73/73352989-ea7f-4f16-be9f-9bf0572d8bd8/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/73/73352989-ea7f-4f16-be9f-9bf0572d8bd8/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/73/73352989-ea7f-4f16-be9f-9bf0572d8bd8/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/73/73352989-ea7f-4f16-be9f-9bf0572d8bd8/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/73/73352989-ea7f-4f16-be9f-9bf0572d8bd8/5-160x120.jpg']",Mercedes-Benz E 320,1998,Астана,1998 г.,Б/у седан,3.2 л,КПП автомат,410 000,"бензин, серебристый, металлик, литые диски, тонировка, ..."
963,5500000,"['https://kolesa-photos.kcdn.online/webp/93/93b39045-ef82-4f8b-98d9-9bebbb2ca12a/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/93/93b39045-ef82-4f8b-98d9-9bebbb2ca12a/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/93/93b39045-ef82-4f8b-98d9-9bebbb2ca12a/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/93/93b39045-ef82-4f8b-98d9-9bebbb2ca12a/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/93/93b39045-ef82-4f8b-98d9-9bebbb2ca12a/5-160x120.jpg']",Mercedes-Benz ML 350,2006,Талдыкорган,2006 г.,Б/у внедорожник,3.5 л,КПП автомат,214,"бензин, серебристый, металлик, Машина в хорошем эстет..."
964,5500000,"['https://kolesa-photos.kcdn.online/webp/2a/2a9e3fc3-4b1f-4a73-ac14-9bebb9c3c7eb/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/2a/2a9e3fc3-4b1f-4a73-ac14-9bebb9c3c7eb/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/2a/2a9e3fc3-4b1f-4a73-ac14-9bebb9c3c7eb/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/2a/2a9e3fc3-4b1f-4a73-ac14-9bebb9c3c7eb/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/2a/2a9e3fc3-4b1f-4a73-ac14-9bebb9c3c7eb/5-160x120.jpg']",Mercedes-Benz ML 350,2006,Алматы,2006 г.,Б/у внедорожник,3.5 л,КПП автомат,214,"бензин, серебристый, металлик, кожа, кондиционер, Маш..."
965,1600000,"['https://kolesa-photos.kcdn.online/webp/ff/ff0df8a4-9120-4a3f-bd2d-9bfc957dfa14/10-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ff/ff0df8a4-9120-4a3f-bd2d-9bfc957dfa14/11-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ff/ff0df8a4-9120-4a3f-bd2d-9bfc957dfa14/13-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ff/ff0df8a4-9120-4a3f-bd2d-9bfc957dfa14/14-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ff/ff0df8a4-9120-4a3f-bd2d-9bfc957dfa14/15-160x120.jpg']",Mercedes-Benz E 230,1991,Алматы,1991 г.,Б/у седан,2.3 л,КПП механика,194 000,"бензин, бордовый, металлик, литые диски, тонировка, лю..."
966,1600000,"['https://kolesa-photos.kcdn.online/webp/99/99bc2788-e2b9-4f91-bbbc-9bf2d054274b/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/99/99bc2788-e2b9-4f91-bbbc-9bf2d054274b/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/99/99bc2788-e2b9-4f91-bbbc-9bf2d054274b/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/99/99bc2788-e2b9-4f91-bbbc-9bf2d054274b/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/99/99bc2788-e2b9-4f91-bbbc-9bf2d054274b/5-160x120.jpg']",Mercedes-Benz C 220,1995,Астана,1995 г.,Б/у седан,2.2 л,КПП механика,300 000,"бензин, зеленый, ГУР, ABS, налог уплачен, техосмотр пр..."
967,2200000,"['https://kolesa-photos.kcdn.online/webp/06/06ec9153-4483-4884-bc8b-9bf4ca1fb681/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/06/06ec9153-4483-4884-bc8b-9bf4ca1fb681/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/06/06ec9153-4483-4884-bc8b-9bf4ca1fb681/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/06/06ec9153-4483-4884-bc8b-9bf4ca1fb681/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/06/06ec9153-4483-4884-bc8b-9bf4ca1fb681/5-160x120.jpg']",Mercedes-Benz E 200,2000,Астана,2000 г.,Б/у седан,2 л,КПП механика,,"бензин, черный, металлик, литые диски, тонировка, ветровики, биксенон, велюр, а..."
968,11500000,"['https://kolesa-photos.kcdn.online/webp/1a/1ad977bb-0b4b-48da-b285-9be093449d11/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/1a/1ad977bb-0b4b-48da-b285-9be093449d11/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/1a/1ad977bb-0b4b-48da-b285-9be093449d11/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/1a/1ad977bb-0b4b-48da-b285-9be093449d11/5-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/1a/1ad977bb-0b4b-48da-b285-9be093449d11/6-160x120.jpg']",Mercedes-Benz Sprinter,2007,Алматы,2007 г.,Б/у фургон,2.2 л,КПП механика,,"дизель, жёлтый, велюр"
969,3900000,"['https://kolesa-photos.kcdn.online/webp/98/98ae60f1-9431-4048-892a-9b3777a93370/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/98/98ae60f1-9431-4048-892a-9b3777a93370/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/98/98ae60f1-9431-4048-892a-9b3777a93370/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/98/98ae60f1-9431-4048-892a-9b3777a93370/14-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/98/98ae60f1-9431-4048-892a-9b3777a93370/15-160x120.jpg']",Mercedes-Benz E 240,2000,Караганда,2000 г.,Б/у седан,2.4 л,КПП механика,305 000,"бензин, зеленый, металлик, люк, ксенон, противотуманки..."
970,2450000,"['https://kolesa-photos.kcdn.online/webp/85/85f310ea-ab45-425c-ba51-9b4d4bf970ca/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/85/85f310ea-ab45-425c-ba51-9b4d4bf970ca/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/85/85f310ea-ab45-425c-ba51-9b4d4bf970ca/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/85/85f310ea-ab45-425c-ba51-9b4d4bf970ca/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/85/85f310ea-ab45-425c-ba51-9b4d4bf970ca/5-160x120.jpg']",Mercedes-Benz A 160,2002,Алматы,2002 г.,Б/у хэтчбек,1.6 л,КПП автомат,250 000,"бензин, синий, литые диски, тонировка, кожа, аудиосис..."
971,9400000,"['https://kolesa-photos.kcdn.online/webp/52/5277dd78-cfb1-4918-a2b5-9bd23abb4cca/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/52/5277dd78-cfb1-4918-a2b5-9bd23abb4cca/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/52/5277dd78-cfb1-4918-a2b5-9bd23abb4cca/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/52/5277dd78-cfb1-4918-a2b5-9bd23abb4cca/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/52/5277dd78-cfb1-4918-a2b5-9bd23abb4cca/5-160x120.jpg']",Mercedes-Benz C 250,2012,Костанай,2012 г.,Б/у седан,1.8 л,КПП автомат,168 000,"бензин, белый, литые диски, тонировка, спойлер, обвес, ..."
972,2300000,"['https://kolesa-photos.kcdn.online/webp/ae/ae272d3e-ee91-4046-bf45-9bf8adf235ec/11-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ae/ae272d3e-ee91-4046-bf45-9bf8adf235ec/12-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ae/ae272d3e-ee91-4046-bf45-9bf8adf235ec/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ae/ae272d3e-ee91-4046-bf45-9bf8adf235ec/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ae/ae272d3e-ee91-4046-bf45-9bf8adf235ec/5-160x120.jpg']",Mercedes-Benz E 280,1996,Тараз,1996 г.,Б/у седан,2.8 л,КПП автомат,,"бензин, черный, металлик, литые диски, тонировка, противотуманки, корректор фа..."
973,2300000,"['https://kolesa-photos.kcdn.online/webp/31/31d87541-861e-4e43-bdd6-9bfe06928a4d/14-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/31/31d87541-861e-4e43-bdd6-9bfe06928a4d/13-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/31/31d87541-861e-4e43-bdd6-9bfe06928a4d/16-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/31/31d87541-861e-4e43-bdd6-9bfe06928a4d/15-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/31/31d87541-861e-4e43-bdd6-9bfe06928a4d/17-160x120.jpg']",Mercedes-Benz E 280,1996,Шымкент,1996 г.,Б/у седан,2.8 л,КПП автомат,,"бензин, черный, металлик, литые диски, тонировка, противотуманки, корректор фа..."
974,2800000,"['https://kolesa-photos.kcdn.online/webp/e2/e2f66cce-ceab-4ded-a0ae-996ccda792b8/19-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e2/e2f66cce-ceab-4ded-a0ae-996ccda792b8/20-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e2/e2f66cce-ceab-4ded-a0ae-996ccda792b8/21-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e2/e2f66cce-ceab-4ded-a0ae-996ccda792b8/22-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e2/e2f66cce-ceab-4ded-a0ae-996ccda792b8/23-160x120.jpg']",Mercedes-Benz E 220,1994,Талдыкорган,1994 г.,Б/у седан,2.2 л,КПП автомат,,"бензин, черный, литые диски, тонировка, ветровики, дневные ходовые огни, обогр..."
